condition,reference_condition,trait,target_direction,delta_consistency,delta_bfi_target_attainment,delta_trait_target_attainment,consistency_ci_lower,consistency_ci_upper,consistency_ci_excludes_zero,trait_target_ci_lower,trait_target_ci_upper,trait_target_ci_excludes_zero
elaborate_prompt_as_pas,baseline,openness,low,0.08994363928595817,0.17500000000000046,0.08463485928855581,0.0803652714663358,0.0992777535485995,True,0.07480695770852781,0.09492408269985364,True
one_line_prompt,baseline,agreeableness,high,-0.1077472856465106,0.16666666666666627,0.04740730176590985,-0.11587897036136463,-0.09920031163947254,True,0.04107374291586894,0.05296132650505824,True
one_line_prompt,baseline,agreeableness,low,-0.27911606556502233,0.47222222222222116,0.05799947760608598,-0.2909231337644498,-0.26562964620116386,True,0.05053775253428765,0.06644240823228525,True
one_line_prompt,baseline,conscientiousness,high,-0.3297960480610347,0.3611111111111099,0.023758740198270924,-0.33471456482395057,-0.32443145540609736,True,0.020416805193218,0.02763353197021875,True
one_line_prompt,baseline,conscientiousness,low,0.020827409893876214,0.16666666666666688,0.05154854655523157,0.010632853786909938,0.032290624539638706,True,0.04512070916812817,0.05826623735572952,True
one_line_prompt,baseline,extraversion,high,-0.24521645379494794,0.28125,0.03603354620505184,-0.2501882836355321,-0.2401892717652461,True,0.031061716364467973,0.04106072823475399,True
one_line_prompt,baseline,extraversion,low,0.10359528317714406,0.1875,0.03863853720537567,0.09641709731288248,0.11089063166498558,True,0.03324840584412819,0.0447298974761481,True
one_line_prompt,baseline,neuroticism,high,-0.440792969118586,0.5625,0.0336313181471305,-0.4517250542086181,-0.43074524598029096,True,0.02978230988915567,0.03847274763579367,True
one_line_prompt,baseline,neuroticism,low,-0.0729987842809432,0.09375,0.012712342040323944,-0.07793793046672512,-0.06814234809896531,True,0.008233326564564773,0.016870473259737864,True
one_line_prompt,baseline,openness,high,-0.11507610133216217,0.15000000000000022,0.03418053387445524,-0.11973528571817708,-0.10983929167993783,True,0.02947833806810426,0.039166909265643625,True
one_line_prompt,baseline,openness,low,0.12711981390704763,0.2000000000000004,0.06605588023579753,0.11924134110102058,0.134897778295662,True,0.05796131620809096,0.0749886321936703,True
