scenario_id,trait,target_direction,condition,prompt_style,loglik_selected_action,loglik_selected_direction,action_ids,action_texts,action_directions,action_logliks,action_normalized_logliks,action_softmax_probs,trait_score,trait_target_score,trait_target_attainment
trait_agreeableness_00711,agreeableness,high,as_pas_only,none,trait_agreeableness_00711_act_002,low,"['trait_agreeableness_00711_act_001', 'trait_agreeableness_00711_act_002', 'trait_agreeableness_00711_act_003', 'trait_agreeableness_00711_act_004']","['Perhaps you might weigh the emotional costs against the professional gains and decide if the move aligns with your long-term personal happiness and career goals.', 'Take the job; advancing in your career is a priority, and the significant pay increase justifies the move.', 'You could consider accepting the job and finding ways to maintain strong relationships with your family and friends through regular visits and digital communication.', 'Move to the new city; it’s a valuable opportunity for professional growth, and personal relationships can adapt if they’re truly important.']","['high', 'low', 'high', 'low']","[-14.421875, -0.0557861328125, -15.234375, -8.21875]","[-0.5150669642857143, -0.002535733309659091, -0.609375, -0.3161057692307692]","[0.2083485722541809, 0.34784039855003357, 0.1895977109670639, 0.2542133033275604]",0.39794628915110664,0.39794628915110664,-0.10205371084889336
trait_agreeableness_00712,agreeableness,high,as_pas_only,none,trait_agreeableness_00712_act_004,high,"['trait_agreeableness_00712_act_001', 'trait_agreeableness_00712_act_002', 'trait_agreeableness_00712_act_003', 'trait_agreeableness_00712_act_004']","['Consider leveraging your time on more personal meetings where you can have genuine interactions, rather than a large industry event.', 'Skip the dinner if it really goes against your preferences and focus on networking in ways that make you feel comfortable.', 'You might find it rewarding to go and connect with a few people, making the experience more manageable and meaningful for you.', 'Consider attending the dinner to nurture relationships that could be beneficial for future collaborations or opportunities.']","['low', 'low', 'high', 'high']","[-5.46875, -1.1650390625, -2.69921875, -0.65625]","[-0.24857954545454544, -0.05295632102272727, -0.11246744791666667, -0.03860294117647059]","[0.21760284900665283, 0.26462000608444214, 0.24933159351348877, 0.26844558119773865]",0.5177771592802656,0.5177771592802656,0.017777159280265575
trait_agreeableness_00713,agreeableness,high,as_pas_only,none,trait_agreeableness_00713_act_004,low,"['trait_agreeableness_00713_act_001', 'trait_agreeableness_00713_act_002', 'trait_agreeableness_00713_act_003', 'trait_agreeableness_00713_act_004']","[""You could accept the nomination gracefully as it honors not just your work but also your team's effort."", 'Perhaps you might consider a compromise by accepting the nomination and requesting a more low-key acknowledgment at the ceremony.', 'Decline the nomination if it makes you uncomfortable; maintaining your personal comfort is more important than external recognition.', 'You might just let them know that while you appreciate the gesture, you prefer achievements to be celebrated internally rather than publicly.']","['high', 'high', 'low', 'low']","[-4.23046875, -1.009765625, -7.72265625, -0.85595703125]","[-0.2115234375, -0.048084077380952384, -0.3677455357142857, -0.035664876302083336]","[0.23667560517787933, 0.27869829535484314, 0.20244501531124115, 0.2821810841560364]",0.5153739005327225,0.5153739005327225,0.015373900532722473
trait_agreeableness_00714,agreeableness,high,as_pas_only,none,trait_agreeableness_00714_act_002,high,"['trait_agreeableness_00714_act_001', 'trait_agreeableness_00714_act_002', 'trait_agreeableness_00714_act_003', 'trait_agreeableness_00714_act_004']","['Just let them know that your current responsibilities cannot be set aside, and you must prioritize completing your pending work this weekend.', 'You might consider delegating some of your tasks or rescheduling commitments so you can join your friends and maintain those cherished relationships.', 'Suggest an alternate weekend for the getaway when you are less busy, demonstrating your interest while staying committed to your personal obligations.', 'Perhaps you could work a few extra hours before the weekend to clear up some urgent tasks, allowing you to enjoy the getaway without worries.']","['low', 'high', 'low', 'high']","[-12.4296875, -0.468017578125, -1.056640625, -3.837890625]","[-0.5179036458333334, -0.018720703125, -0.042265625, -0.1421440972222222]","[0.17505434155464172, 0.28838008642196655, 0.2816695272922516, 0.2548960745334625]",0.5432761447645382,0.5432761447645382,0.04327614476453823
trait_agreeableness_00715,agreeableness,high,as_pas_only,none,trait_agreeableness_00715_act_001,high,"['trait_agreeableness_00715_act_001', 'trait_agreeableness_00715_act_002', 'trait_agreeableness_00715_act_003', 'trait_agreeableness_00715_act_004']","['Suggest a team coffee break for everyone to refresh and help Ulisess feel less isolated in his stress.', 'Advise Ulisess to delegate some tasks to others to manage his workload better, which might alleviate his stress.', 'Offer to take a short walk with Ulisess during lunch, allowing for a change of scenery and a physical break from work.', 'Recommend that Ulisess reevaluate his project timeline and priorities, possibly pushing back less critical tasks.']","['high', 'low', 'high', 'low']","[-0.035125732421875, -4.84765625, -3.75390625, -5.94140625]","[-0.0015966242009943182, -0.21076766304347827, -0.1443810096153846, -0.2970703125]","[0.2921946346759796, 0.2370447814464569, 0.2533155083656311, 0.21744512021541595]",0.5455101186554081,0.5455101186554081,0.045510118655408105
trait_agreeableness_00716,agreeableness,high,as_pas_only,none,trait_agreeableness_00716_act_003,high,"['trait_agreeableness_00716_act_001', 'trait_agreeableness_00716_act_002', 'trait_agreeableness_00716_act_003', 'trait_agreeableness_00716_act_004']","['Decline the invitation as your workload and commitments cannot be compromised for additional social events.', 'Skip the ball; prioritize completing your major project and maintaining your current commitments.', ""Maybe you could go to the ball with Ranvir but let him know in advance that you'll need to leave early to manage your other commitments."", 'Consider attending the charity ball for just a short time to show support before focusing back on your project.']","['low', 'low', 'high', 'high']","[-2.91796875, -3.06640625, -0.2998046875, -6.5078125]","[-0.17164522058823528, -0.20442708333333334, -0.010338092672413793, -0.325390625]","[0.24998213350772858, 0.2419201135635376, 0.293740451335907, 0.21435724198818207]",0.5080977236090733,0.5080977236090733,0.008097723609073348
trait_agreeableness_00717,agreeableness,high,as_pas_only,none,trait_agreeableness_00717_act_003,low,"['trait_agreeableness_00717_act_001', 'trait_agreeableness_00717_act_002', 'trait_agreeableness_00717_act_003', 'trait_agreeableness_00717_act_004']","['Consider crafting homemade gifts, which can be both meaningful and budget-friendly.', 'You might also think about baking treats to bring to the parties, as this is an affordable and heartfelt alternative to traditional gifts.', 'Just opt out of gift-giving and explain your financial situation honestly if anyone asks.', 'Alternatively, buy a single bulk gift item that you can split among the various parties to minimize costs.']","['high', 'high', 'low', 'low']","[-3.16015625, -8.140625, -0.058258056640625, -11.1015625]","[-0.22572544642857142, -0.325625, -0.003426944508272059, -0.555078125]","[0.2581803500652313, 0.23363471031188965, 0.3224528431892395, 0.1857321709394455]",0.49181502373404623,0.49181502373404623,-0.00818497626595377
trait_agreeableness_00718,agreeableness,high,as_pas_only,none,trait_agreeableness_00718_act_001,low,"['trait_agreeableness_00718_act_001', 'trait_agreeableness_00718_act_002', 'trait_agreeableness_00718_act_003', 'trait_agreeableness_00718_act_004']","[""You should remain neutral, not laughing or reacting, to clearly indicate that such jokes aren't suitable for the workplace."", ""You might offer a light smile to acknowledge Geordie's attempt at humor without encouraging the nature of the joke."", 'Address Geordie later in private, suggesting that he consider the timing and content of his jokes more carefully in the future.', 'Perhaps gently change the subject to help move the conversation away from the joke and towards more appropriate meeting topics.']","['low', 'high', 'low', 'high']","[-0.00901031494140625, -4.7890625, -8.578125, -8.0]","[-0.0003917528235394022, -0.20822010869565216, -0.343125, -0.38095238095238093]","[0.3119490146636963, 0.253410667181015, 0.2214300036430359, 0.213210329413414]",0.46662098964123444,0.46662098964123444,-0.03337901035876556
trait_agreeableness_00719,agreeableness,high,as_pas_only,none,trait_agreeableness_00719_act_002,low,"['trait_agreeableness_00719_act_001', 'trait_agreeableness_00719_act_002', 'trait_agreeableness_00719_act_003', 'trait_agreeableness_00719_act_004']","['You might consider asking her if there’s anything specific you can do to help, showing your support goes beyond just professional boundaries.', 'Evaluate if sending flowers could set a precedent you’re uncomfortable with; maintaining professional boundaries is crucial.', 'Sending a thoughtful card along with the flowers can express your support and empathy during her difficult times.', 'Consider simply acknowledging her situation verbally when appropriate, which keeps the support subtle and professional.']","['high', 'low', 'high', 'low']","[-14.0390625, -0.25244140625, -3.83203125, -3.931640625]","[-0.5615625, -0.013286389802631578, -0.20168585526315788, -0.23127297794117646]","[0.18002478778362274, 0.3114910423755646, 0.25800296664237976, 0.2504812180995941]",0.43802774789888044,0.43802774789888044,-0.06197225210111956
trait_agreeableness_00720,agreeableness,high,as_pas_only,none,trait_agreeableness_00720_act_001,low,"['trait_agreeableness_00720_act_001', 'trait_agreeableness_00720_act_002', 'trait_agreeableness_00720_act_003', 'trait_agreeableness_00720_act_004']","['Suggest that Shandel looks into affordable financing or leasing options for a new laptop instead of giving yours away.', 'Keep the laptop for yourself since it could be useful for your future needs, and Shandel can explore other options to acquire one.', 'Consider surprising Shandel with the laptop, making it a heartfelt gesture to help them succeed in their projects.', 'You could gift the laptop to Shandel, as it would really boost their productivity and show how much you support their endeavors.']","['low', 'low', 'high', 'high']","[-0.74267578125, -11.0078125, -1.2587890625, -2.3984375]","[-0.033757990056818184, -0.42337740384615385, -0.05994233630952381, -0.0959375]","[0.27845966815948486, 0.18860481679439545, 0.2712630033493042, 0.2616724967956543]",0.5329355080863164,0.5329355080863164,0.0329355080863164
trait_agreeableness_00721,agreeableness,high,as_pas_only,none,trait_agreeableness_00721_act_001,high,"['trait_agreeableness_00721_act_001', 'trait_agreeableness_00721_act_002', 'trait_agreeableness_00721_act_003', 'trait_agreeableness_00721_act_004']","['You might consider gently expressing to Loujain how much effort and care you put into looking after their cat, which could naturally lead them to offer some form of gratitude.', 'Perhaps you could ask Loujain if they’d be willing to cover the costs you incurred while caring for their pet, as a kind gesture of appreciation.', 'Directly ask Loujain for a compensation for the expenses and time you invested in taking care of the cat, emphasizing that it is only fair.', 'Tell Loujain that taking care of their cat involved certain costs and effort on your part, and it would be reasonable to expect some form of compensation for your troubles.']","['high', 'high', 'low', 'low']","[-0.1888427734375, -3.09375, -2.19140625, -6.12109375]","[-0.00555419921875, -0.09979838709677419, -0.073046875, -0.18003216911764705]","[0.27139320969581604, 0.24698424339294434, 0.25368061661720276, 0.22794190049171448]",0.5183774685376128,0.5183774685376128,0.018377468537612796
trait_agreeableness_00722,agreeableness,high,as_pas_only,none,trait_agreeableness_00722_act_002,high,"['trait_agreeableness_00722_act_001', 'trait_agreeableness_00722_act_002', 'trait_agreeableness_00722_act_003', 'trait_agreeableness_00722_act_004']","['Politely decline, explaining that you already have commitments to your personal health this weekend.', 'Offer to help Nazair for a few hours on one day of the weekend so you can also have time for your relaxation.', 'Suggest that Nazair asks other friends who might not already have plans, as your weekend is already booked for personal time.', ""Suggest that Nazair could hire professional movers and you'll provide support by organizing meals or refreshments for everyone on the moving day.""]","['low', 'high', 'low', 'high']","[-2.88671875, -0.09466552734375, -6.32421875, -3.51171875]","[-0.16980698529411764, -0.00378662109375, -0.25296875, -0.1300636574074074]","[0.24146755039691925, 0.2850759029388428, 0.2221989929676056, 0.2512575387954712]",0.5363334497263051,0.5363334497263051,0.036333449726305145
trait_agreeableness_00723,agreeableness,high,as_pas_only,none,trait_agreeableness_00723_act_002,low,"['trait_agreeableness_00723_act_001', 'trait_agreeableness_00723_act_002', 'trait_agreeableness_00723_act_003', 'trait_agreeableness_00723_act_004']","[""Maybe express to Tavleen how you're feeling and ask if she's open to the idea of ordering a ride for you, so she can continue enjoying the party."", 'Tell Tavleen directly that you need to leave for your own comfort, regardless of her having fun.', 'You could suggest a compromise to Tavleen; perhaps staying just a bit longer to meet her happiness, then leaving together.', 'Inform Tavleen that you are calling a taxi for yourself because you want to leave now.']","['high', 'low', 'high', 'low']","[-2.181640625, -0.4970703125, -3.306640625, -1.4794921875]","[-0.06416590073529412, -0.02367001488095238, -0.132265625, -0.07786800986842106]","[0.2524050772190094, 0.262836217880249, 0.23578856885433197, 0.248970165848732]",0.4881936315240374,0.4881936315240374,-0.011806368475962614
trait_agreeableness_00724,agreeableness,high,as_pas_only,none,trait_agreeableness_00724_act_004,high,"['trait_agreeableness_00724_act_001', 'trait_agreeableness_00724_act_002', 'trait_agreeableness_00724_act_003', 'trait_agreeableness_00724_act_004']","['Suggest that Josalyn finds an alternative or waits for another time when you are less occupied.', 'Keep your business appointment as planned; it’s important to prioritize commitments that impact your professional goals.', 'Perhaps offer to help Josalyn after your business appointment, blending commitment with your supportive nature.', ""You might consider rescheduling the business appointment if Josalyn's request could foster a supportive relationship.""]","['low', 'low', 'high', 'high']","[-6.6875, -15.703125, -1.7646484375, -0.264892578125]","[-0.334375, -0.8264802631578947, -0.09287623355263158, -0.01324462890625]","[0.23456673324108124, 0.14339956641197205, 0.29864001274108887, 0.32339370250701904]",0.6220337059790834,0.6220337059790834,0.12203370597908336
trait_agreeableness_00725,agreeableness,high,as_pas_only,none,trait_agreeableness_00725_act_002,high,"['trait_agreeableness_00725_act_001', 'trait_agreeableness_00725_act_002', 'trait_agreeableness_00725_act_003', 'trait_agreeableness_00725_act_004']","[""Apologize sincerely to Webber for the comment and ask them how they feel or if there's anything they'd like to talk about."", 'Express your regret over the upsetting comment, then gently shift the conversation towards a topic that Webber enjoys to lighten the mood.', 'Clarify your comment to Webber, explaining your point of view so they understand your perspective better.', 'Ask Webber to explain why your comment upset them, which can lead to a clearer understanding on both sides.']","['high', 'high', 'low', 'low']","[-1.00390625, -0.4716796875, -5.046875, -7.94140625]","[-0.035853794642857144, -0.0188671875, -0.25234375, -0.36097301136363635]","[0.2820943295955658, 0.28692707419395447, 0.22718201577663422, 0.20379656553268433]",0.5690214122686,0.5690214122686,0.06902141226860004
trait_agreeableness_00726,agreeableness,high,as_pas_only,none,trait_agreeableness_00726_act_002,high,"['trait_agreeableness_00726_act_001', 'trait_agreeableness_00726_act_002', 'trait_agreeableness_00726_act_003', 'trait_agreeableness_00726_act_004']","['Suggest that Stevielynn should speak to a financial advisor to better manage her expenses and debt.', 'Offer to help Stevielynn by covering some of her medical expenses or by lending her money if that feels right to you.', 'Advise Stevielynn to negotiate the bills or seek cheaper medical alternatives for future treatments.', 'Consider providing support by helping Stevielynn find financial aid programs or charities that assist with medical bills.']","['low', 'high', 'low', 'high']","[-7.61328125, -0.0023975372314453125, -6.44140625, -8.96875]","[-0.3625372023809524, -9.221297044020433e-05, -0.33902138157894735, -0.4270833333333333]","[0.22736957669258118, 0.3266932964324951, 0.23277971148490906, 0.21315735578536987]",0.5398506843954732,0.5398506843954732,0.039850684395473235
trait_agreeableness_00727,agreeableness,high,as_pas_only,none,trait_agreeableness_00727_act_003,high,"['trait_agreeableness_00727_act_001', 'trait_agreeableness_00727_act_002', 'trait_agreeableness_00727_act_003', 'trait_agreeableness_00727_act_004']","['Consider starting with the positive aspects of the policy, then transition into your concerns, ensuring you maintain a respectful tone throughout.', 'Directly challenge the policy by presenting strong, logical arguments against it and demand a review from management.', 'You could express your concerns by highlighting how the policy impacts team morale, and gently suggest possible alternatives that could benefit everyone.', ""Question the policy's fairness and effectiveness in the meeting, and push for an immediate reconsideration by presenting the overall dissatisfaction of your colleagues.""]","['high', 'low', 'high', 'low']","[-2.693359375, -7.9921875, -1.4443359375, -3.380859375]","[-0.11222330729166667, -0.399609375, -0.0601806640625, -0.1252170138888889]","[0.2638012170791626, 0.19790948927402496, 0.27789366245269775, 0.2603956460952759]",0.5416948714599777,0.5416948714599777,0.041694871459977745
trait_agreeableness_00728,agreeableness,high,as_pas_only,none,trait_agreeableness_00728_act_004,high,"['trait_agreeableness_00728_act_001', 'trait_agreeableness_00728_act_002', 'trait_agreeableness_00728_act_003', 'trait_agreeableness_00728_act_004']","[""Propose a formal vote on the project during the next team meeting to decisively address and move beyond Kashtin's opposition."", ""Firmly defend your project's merits in the next meeting, showcasing robust evidence and data to counter his objections."", 'Consider inviting Kashtin to co-present the project, integrating his viewpoints to strengthen the proposal.', 'Schedule a one-on-one meeting with Kashtin to understand his concerns and discuss potential compromises.']","['low', 'low', 'high', 'high']","[-2.41015625, -2.255859375, -2.25, -0.359375]","[-0.0926983173076923, -0.09808084239130435, -0.11842105263157894, -0.018914473684210526]","[0.24716921150684357, 0.24584238231182098, 0.2408924102783203, 0.26609596610069275]",0.5069883914884445,0.5069883914884445,0.006988391488444545
trait_agreeableness_00729,agreeableness,high,as_pas_only,none,trait_agreeableness_00729_act_001,high,"['trait_agreeableness_00729_act_001', 'trait_agreeableness_00729_act_002', 'trait_agreeableness_00729_act_003', 'trait_agreeableness_00729_act_004']","['Offer to spend time with Janely, perhaps going for a walk or watching a movie together to help her feel less alone.', 'Consider sending Janely a care package filled with her favorite treats and a heartfelt note to show your support and affection.', 'Encourage Janely to join a support group where she can connect with people who understand her grief and can offer perspective.', 'Suggest that Janely seeks professional counseling to address her feelings of hopelessness and to develop coping strategies.']","['high', 'high', 'low', 'low']","[-1.98828125, -3.58203125, -5.18359375, -2.64453125]","[-0.07953125, -0.15574048913043478, -0.21598307291666666, -0.12593005952380953]","[0.2664015591144562, 0.24685363471508026, 0.23242159187793732, 0.25432324409484863]",0.5132551785333401,0.5132551785333401,0.013255178533340128
trait_agreeableness_00730,agreeableness,high,as_pas_only,none,trait_agreeableness_00730_act_001,low,"['trait_agreeableness_00730_act_001', 'trait_agreeableness_00730_act_002', 'trait_agreeableness_00730_act_003', 'trait_agreeableness_00730_act_004']","['Withhold Meital’s paycheck as a firm action to underline the seriousness of the performance issues and motivate improvement.', 'Consider setting up a meeting with Meital to openly discuss performance issues and explore supportive measures to help improve their work.', 'Implement a direct policy that ties Meital’s pay to specific performance metrics, ensuring accountability and immediate consequences for underperformance.', 'You might want to create an improvement plan that outlines clear goals and timelines for Meital, providing regular feedback and encouragement.']","['low', 'high', 'low', 'high']","[-0.00030350685119628906, -11.203125, -11.375, -22.515625]","[-1.3795765963467685e-05, -0.48709239130434784, -0.4739583333333333, -0.9381510416666666]","[0.38047167658805847, 0.23376892507076263, 0.2368595153093338, 0.14889992773532867]",0.3826688356994613,0.3826688356994613,-0.11733116430053869
trait_agreeableness_00731,agreeableness,high,as_pas_only,none,trait_agreeableness_00731_act_003,high,"['trait_agreeableness_00731_act_001', 'trait_agreeableness_00731_act_002', 'trait_agreeableness_00731_act_003', 'trait_agreeableness_00731_act_004']","['Perhaps you could delegate some of your responsibilities to other volunteers, which would allow you to continue supporting the charity while also managing your stress better.', ""It's practical to prioritize your own health and professional duties over volunteering; you can always return to it when you're in a better position."", 'You might consider reducing your hours slightly and finding a schedule that allows more time for rest, maintaining your commitment but taking care of your health too.', 'Consider taking a complete break from volunteering to focus entirely on your personal and professional life until you feel less overwhelmed.']","['high', 'low', 'high', 'low']","[-2.47265625, -3.69140625, -0.27197265625, -2.1640625]","[-0.08830915178571429, -0.1318359375, -0.009378367456896552, -0.09836647727272728]","[0.24816793203353882, 0.23759770393371582, 0.2685498297214508, 0.24568453431129456]",0.5167177617549896,0.5167177617549896,0.016717761754989624
