condition,reference_condition,trait,target_direction,metric,n_paired_scenarios,mean_delta,ci,ci_lower,ci_upper,n_bootstrap,seed
elaborate_prompt,baseline,neuroticism,high,consistency,150,-0.2123450390134655,0.95,-0.22264841682530678,-0.20247153580740002,500,42
elaborate_prompt,baseline,neuroticism,low,consistency,150,-0.04240417233800175,0.95,-0.04763380820625689,-0.03757926716169834,500,42
elaborate_prompt,baseline,openness,high,consistency,150,0.008213892684446892,0.95,0.002371808459250375,0.01395264003018385,500,42
elaborate_prompt,baseline,openness,low,consistency,150,0.11342839190962489,0.95,0.10651135899025771,0.12065547432404544,500,42
elaborate_prompt_as_pas,baseline,agreeableness,high,consistency,150,-0.03589495385008184,0.95,-0.044734473634105786,-0.027106392221209016,500,42
elaborate_prompt_as_pas,baseline,agreeableness,low,consistency,150,-0.026573237688115887,0.95,-0.03511979438917167,-0.019652994410114713,500,42
elaborate_prompt_as_pas,baseline,conscientiousness,high,consistency,150,-0.07310667910444157,0.95,-0.07933515477423028,-0.06669825678775904,500,42
elaborate_prompt_as_pas,baseline,conscientiousness,low,consistency,150,0.016284008846188237,0.95,0.007073953285615583,0.02381857527234335,500,42
elaborate_prompt_as_pas,baseline,extraversion,high,consistency,150,-0.24381683657307993,0.95,-0.2520227569521251,-0.23610097631949042,500,42
elaborate_prompt_as_pas,baseline,extraversion,low,consistency,150,0.079851784770881,0.95,0.0739437951895239,0.08579348193850439,500,42
elaborate_prompt_as_pas,baseline,neuroticism,high,consistency,150,-0.10350228469234668,0.95,-0.11331201376919837,-0.09428285136197705,500,42
elaborate_prompt_as_pas,baseline,neuroticism,low,consistency,150,0.0024272810796441362,0.95,-0.0027855762054069784,0.00702951773996721,500,42
elaborate_prompt_as_pas,baseline,openness,high,consistency,150,0.053799480725817604,0.95,0.04581236383991416,0.06124538065521222,500,42
elaborate_prompt_as_pas,baseline,openness,low,consistency,150,0.016108505504827286,0.95,0.006514800054798788,0.02532620079108941,500,42
one_line_prompt,baseline,agreeableness,high,consistency,150,-0.10774728564651066,0.95,-0.11587897036136463,-0.09920031163947254,500,42
one_line_prompt,baseline,agreeableness,low,consistency,150,-0.2791160655650226,0.95,-0.2909231337644498,-0.26562964620116386,500,42
one_line_prompt,baseline,conscientiousness,high,consistency,150,-0.329796048061035,0.95,-0.33471456482395057,-0.32443145540609736,500,42
one_line_prompt,baseline,conscientiousness,low,consistency,150,0.020827409893876048,0.95,0.010632853786909938,0.032290624539638706,500,42
one_line_prompt,baseline,extraversion,high,consistency,150,-0.24521645379494827,0.95,-0.2501882836355321,-0.2401892717652461,500,42
one_line_prompt,baseline,extraversion,low,consistency,150,0.10359528317714363,0.95,0.09641709731288248,0.11089063166498558,500,42
one_line_prompt,baseline,neuroticism,high,consistency,150,-0.44079296911858656,0.95,-0.4517250542086181,-0.43074524598029096,500,42
one_line_prompt,baseline,neuroticism,low,consistency,150,-0.07299878428094403,0.95,-0.07793793046672512,-0.06814234809896531,500,42
one_line_prompt,baseline,openness,high,consistency,150,-0.11507610133216171,0.95,-0.11973528571817708,-0.10983929167993783,500,42
one_line_prompt,baseline,openness,low,consistency,150,0.1271198139070473,0.95,0.11924134110102058,0.134897778295662,500,42
as_pas_only,baseline,agreeableness,high,trait_target_attainment,150,0.03480261147452542,0.95,0.030008254232581022,0.03949838589728762,500,42
as_pas_only,baseline,agreeableness,low,trait_target_attainment,150,0.03839913727853532,0.95,0.03297092200841713,0.04439297412808403,500,42
as_pas_only,baseline,conscientiousness,high,trait_target_attainment,150,0.034367349231470515,0.95,0.030918072852403528,0.038154792566830936,500,42
as_pas_only,baseline,conscientiousness,low,trait_target_attainment,150,0.030747765614819282,0.95,0.026606122266779057,0.0349287252846374,500,42
as_pas_only,baseline,extraversion,high,trait_target_attainment,150,0.040520515573177915,0.95,0.03668262499568324,0.04472600296274812,500,42
as_pas_only,baseline,extraversion,low,trait_target_attainment,150,0.025273681674266454,0.95,0.021925587503288598,0.02842557896862808,500,42
as_pas_only,baseline,neuroticism,high,trait_target_attainment,150,0.04037085913586451,0.95,0.03662994063614984,0.04409131821887213,500,42
as_pas_only,baseline,neuroticism,low,trait_target_attainment,150,0.029127341607674377,0.95,0.025187707538929217,0.032864943770988614,500,42
as_pas_only,baseline,openness,high,trait_target_attainment,150,0.037513261032654954,0.95,0.033004447815026663,0.04167455070385713,500,42
as_pas_only,baseline,openness,low,trait_target_attainment,150,0.05812390329905625,0.95,0.051428918900475164,0.06535627689094317,500,42
elaborate_prompt,baseline,agreeableness,high,trait_target_attainment,150,0.052929441041150986,0.95,0.04559705605203264,0.060407807968942594,500,42
elaborate_prompt,baseline,agreeableness,low,trait_target_attainment,150,0.056398566876719014,0.95,0.04807757558116022,0.0647828448619194,500,42
elaborate_prompt,baseline,conscientiousness,high,trait_target_attainment,150,0.031558849861478985,0.95,0.02757222893005607,0.03611079467808335,500,42
elaborate_prompt,baseline,conscientiousness,low,trait_target_attainment,150,0.05941507173040237,0.95,0.052163073736491296,0.06627655237578099,500,42
elaborate_prompt,baseline,extraversion,high,trait_target_attainment,150,0.04556157470118489,0.95,0.0396839315919357,0.051857921768780305,500,42
elaborate_prompt,baseline,extraversion,low,trait_target_attainment,150,0.039611094811076844,0.95,0.03318650342235976,0.045666022502638605,500,42
elaborate_prompt,baseline,neuroticism,high,trait_target_attainment,150,0.043329248252251575,0.95,0.03792940894385193,0.048584902769751685,500,42
elaborate_prompt,baseline,neuroticism,low,trait_target_attainment,150,0.012096700268572258,0.95,0.007791392938512529,0.015942691968745485,500,42
elaborate_prompt,baseline,openness,high,trait_target_attainment,150,0.033890114383526904,0.95,0.028152156756687252,0.039549902346328145,500,42
elaborate_prompt,baseline,openness,low,trait_target_attainment,150,0.058994464839522594,0.95,0.05176677297178181,0.06623034643154523,500,42
elaborate_prompt_as_pas,baseline,agreeableness,high,trait_target_attainment,150,0.06544534715100513,0.95,0.057925896507120905,0.07301852349465152,500,42
elaborate_prompt_as_pas,baseline,agreeableness,low,trait_target_attainment,150,0.06572978202232543,0.95,0.05696590885374758,0.07560876409407091,500,42
elaborate_prompt_as_pas,baseline,conscientiousness,high,trait_target_attainment,150,0.058225886932642,0.95,0.05308976244367653,0.0639911131318987,500,42
elaborate_prompt_as_pas,baseline,conscientiousness,low,trait_target_attainment,150,0.07053513948967534,0.95,0.06154231277018042,0.08052554008853177,500,42
elaborate_prompt_as_pas,baseline,extraversion,high,trait_target_attainment,150,0.06868316342692007,0.95,0.0604772430478749,0.07639902368050958,500,42
elaborate_prompt_as_pas,baseline,extraversion,low,trait_target_attainment,150,0.0407084232179542,0.95,0.03440106406706285,0.046609618441792025,500,42
elaborate_prompt_as_pas,baseline,neuroticism,high,trait_target_attainment,150,0.058422002573370345,0.95,0.05235641926033006,0.06488756295751182,500,42
elaborate_prompt_as_pas,baseline,neuroticism,low,trait_target_attainment,150,0.03037029675607577,0.95,0.025059424334428905,0.03487972002272084,500,42
elaborate_prompt_as_pas,baseline,openness,high,trait_target_attainment,150,0.05607152308327349,0.95,0.04914882759138561,0.06332952869700338,500,42
elaborate_prompt_as_pas,baseline,openness,low,trait_target_attainment,150,0.08463485928855578,0.95,0.07480695770852781,0.09492408269985364,500,42
one_line_prompt,baseline,agreeableness,high,trait_target_attainment,150,0.04740730176590985,0.95,0.04107374291586894,0.05296132650505824,500,42
one_line_prompt,baseline,agreeableness,low,trait_target_attainment,150,0.057999477606085974,0.95,0.05053775253428765,0.06644240823228525,500,42
one_line_prompt,baseline,conscientiousness,high,trait_target_attainment,150,0.02375874019827093,0.95,0.020416805193218,0.02763353197021875,500,42
one_line_prompt,baseline,conscientiousness,low,trait_target_attainment,150,0.051548546555231584,0.95,0.04512070916812817,0.05826623735572952,500,42
one_line_prompt,baseline,extraversion,high,trait_target_attainment,150,0.03603354620505186,0.95,0.031061716364467973,0.04106072823475399,500,42
one_line_prompt,baseline,extraversion,low,trait_target_attainment,150,0.038638537205375675,0.95,0.03324840584412819,0.0447298974761481,500,42
one_line_prompt,baseline,neuroticism,high,trait_target_attainment,150,0.03363131814713054,0.95,0.02978230988915567,0.03847274763579367,500,42
one_line_prompt,baseline,neuroticism,low,trait_target_attainment,150,0.01271234204032392,0.95,0.008233326564564773,0.016870473259737864,500,42
one_line_prompt,baseline,openness,high,trait_target_attainment,150,0.03418053387445525,0.95,0.02947833806810426,0.039166909265643625,500,42
one_line_prompt,baseline,openness,low,trait_target_attainment,150,0.06605588023579753,0.95,0.05796131620809096,0.0749886321936703,500,42
