condition,trait,target_direction,n,mean_consistency,mean_bfi_score,mean_trait_score,mean_bfi_target_attainment,mean_trait_target_attainment
elaborate_prompt_as_pas,openness,high,150,0.8809721333239731,0.6749999999999982,0.5589875404748115,0.17500000000000046,0.058987540474811626
elaborate_prompt_as_pas,openness,low,150,0.8432811581029821,0.5750000000000016,0.4182811581029824,-0.07499999999999989,0.08171884189701765
one_line_prompt,agreeableness,high,150,0.8188361974195718,0.7222222222222244,0.5412726952042691,0.22222222222222168,0.041272695204269204
one_line_prompt,agreeableness,low,150,0.6474674175010601,0.08333333333333347,0.43586591583227335,0.41666666666666574,0.06413408416772662
one_line_prompt,conscientiousness,high,150,0.5950349511203297,0.9444444444444444,0.5394793955647738,0.44444444444444337,0.03947939556477383
one_line_prompt,conscientiousness,low,150,0.9456584090752406,0.41666666666666574,0.4641721088112712,0.0833333333333334,0.03582789118872867
one_line_prompt,extraversion,high,150,0.6127377035867093,0.90625,0.5189877035867095,0.40625,0.01898770358670927
one_line_prompt,extraversion,low,150,0.9615494405588013,0.4375,0.4443156201762816,0.0625,0.055684379823718246
one_line_prompt,neuroticism,high,150,0.511149737674906,1.0,0.511149737674906,0.5,0.011149737674905973
one_line_prompt,neuroticism,low,150,0.8789439225125488,0.34375,0.4648060774874515,0.15625,0.03519392251254847
one_line_prompt,openness,high,150,0.7120965512659932,0.825000000000002,0.5370965512659936,0.3250000000000007,0.0370965512659934
one_line_prompt,openness,low,150,0.954292466505203,0.4750000000000003,0.43686013715574074,0.024999999999999942,0.06313986284425938
