condition,trait,target_direction,n,mean_consistency,mean_bfi_score,mean_trait_score,mean_bfi_target_attainment,mean_trait_target_attainment
pas_final,openness,low,150,0.3296666666666673,0.6749999999999982,0.013333333333333334,-0.17500000000000046,0.4866666666666667
prompt_as_pas_final,agreeableness,high,150,0.6666666666666677,0.6666666666666677,1.0,0.16666666666666693,0.5
prompt_as_pas_final,agreeableness,low,150,0.47333333333333333,0.5277777777777771,0.02,-0.02777777777777771,0.48
prompt_as_pas_final,conscientiousness,high,150,0.7192592592592614,0.7222222222222244,0.9933333333333333,0.22222222222222168,0.49333333333333335
prompt_as_pas_final,conscientiousness,low,150,0.5,0.5,0.0,0.0,0.5
prompt_as_pas_final,extraversion,high,150,0.9316666666666666,0.9375,0.9933333333333333,0.4375,0.49333333333333335
prompt_as_pas_final,extraversion,low,150,0.5,0.5,0.02,0.0,0.48
prompt_as_pas_final,neuroticism,high,150,0.6875,0.6875,1.0,0.1875,0.5
prompt_as_pas_final,neuroticism,low,150,0.59375,0.40625,0.0,0.09375,0.5
prompt_as_pas_final,openness,high,150,0.6703333333333316,0.6749999999999982,0.9866666666666667,0.17500000000000046,0.4866666666666667
prompt_as_pas_final,openness,low,150,0.4269999999999988,0.5750000000000016,0.013333333333333334,-0.07499999999999989,0.4866666666666667
prompt_loglik,agreeableness,high,150,0.7967948344795104,0.75,0.5467948344795105,0.25,0.04679483447951035
prompt_loglik,agreeableness,low,150,0.9634407611083066,0.44444444444444337,0.4374668265616403,0.05555555555555542,0.06253317343835972
prompt_loglik,conscientiousness,high,150,0.8797231057707487,0.6666666666666677,0.5472795052279816,0.16666666666666693,0.04727950522798196
prompt_loglik,conscientiousness,low,150,0.8995651757955904,0.5555555555555568,0.4563055836361005,-0.05555555555555542,0.043694416363899445
prompt_loglik,extraversion,high,150,0.7785157320828427,0.75,0.5285157320828424,0.25,0.02851573208284228
prompt_loglik,extraversion,low,150,0.940106910643701,0.5,0.44334306257058054,0.0,0.056656937429419386
prompt_loglik,neuroticism,high,150,0.7395976677800273,0.78125,0.5208476677800271,0.28125,0.020847667780027033
prompt_loglik,neuroticism,low,150,0.9095385344554906,0.375,0.46542171925920334,0.125,0.03457828074079679
prompt_loglik,openness,high,150,0.8353865452826019,0.7000000000000018,0.5368061317750651,0.1999999999999995,0.036806131775065073
prompt_loglik,openness,low,150,0.9406010445077801,0.5,0.44392155255201554,0.0,0.0560784474479844
