condition,trait,target_direction,n,delta_bfi_target,delta_bfi_target_ci_low,delta_bfi_target_ci_high,delta_trait_target,delta_trait_target_ci_low,delta_trait_target_ci_high,co_movement_flag
as_loglik,neuroticism,low,150,0.0,-0.09375,0.09375,0.029127341607674384,0.025115600084757394,0.033191235218680996,trait_only
as_loglik,openness,high,150,0.02499999999999991,0.0,0.07499999999999996,0.03751326103265494,0.03300895698221553,0.042301592312981535,trait_only
as_loglik,openness,low,150,0.17500000000000004,0.09999999999999998,0.25,0.05812390329905625,0.05126814259560991,0.06553671516754145,both_positive
pas_final,agreeableness,high,150,0.0,0.0,0.0,0.5061346065616407,0.4965175179613169,0.5155582326314927,trait_only
pas_final,agreeableness,low,150,0.0,0.0,0.0,0.4738653934383594,0.4475583782077826,0.4945486541240987,trait_only
pas_final,conscientiousness,high,150,0.0,0.0,0.0,0.47761267796683043,0.46048124625398634,0.49041225101570424,trait_only
pas_final,conscientiousness,low,150,0.0,0.0,0.0,0.5157206553665029,0.5071411953201784,0.5242047872023542,trait_only
pas_final,extraversion,high,150,0.0,0.0,0.0,0.5103791759516759,0.4931812835497539,0.5216129299615739,trait_only
pas_final,extraversion,low,150,0.0,0.0,0.0,0.4629541573816574,0.43470052326910585,0.48350624126531533,trait_only
pas_final,neuroticism,high,150,0.0,0.0,0.0,0.5224815804722246,0.5158067810460195,0.5292460517417263,trait_only
pas_final,neuroticism,low,150,0.0,0.0,0.0,0.47751841952777546,0.47082761588048966,0.48435973763684426,trait_only
pas_final,openness,high,150,0.0,0.0,0.0,0.4837506492751285,0.4612570325892077,0.5007085686817647,trait_only
pas_final,openness,low,150,0.0,0.0,0.0,0.4895826840582048,0.46888898215847596,0.5080435367360915,trait_only
as_pas_final,agreeableness,high,150,0.08333333333333326,0.0,0.16666666666666663,0.5061346065616407,0.4954455103634823,0.5163067319609267,trait_only
as_pas_final,agreeableness,low,150,0.05555555555555558,0.0,0.11180555555555496,0.4738653934383594,0.44973865892570714,0.4952915175744774,trait_only
as_pas_final,conscientiousness,high,150,0.05555555555555547,0.0,0.13888888888888884,0.47761267796683043,0.4584723281210931,0.4899483406446235,trait_only
as_pas_final,conscientiousness,low,150,0.02777777777777779,0.0,0.08333333333333337,0.5157206553665029,0.5076770101407722,0.5242415812991684,trait_only
as_pas_final,extraversion,high,150,0.03125,0.0,0.09375,0.5103791759516759,0.494009764185584,0.5222353768391019,trait_only
as_pas_final,extraversion,low,150,0.0625,0.0,0.15625,0.4629541573816574,0.43635100321751935,0.4838086311161081,trait_only
as_pas_final,neuroticism,high,150,0.15625,0.0625,0.21875,0.5224815804722246,0.5152397898341602,0.5290194574185331,both_positive
as_pas_final,neuroticism,low,150,0.0,-0.09375,0.09375,0.47751841952777546,0.47169203512789004,0.4841163111304089,trait_only
as_pas_final,openness,high,150,0.02499999999999991,0.0,0.07499999999999996,0.4837506492751285,0.4606953193425996,0.5005308186580222,trait_only
as_pas_final,openness,low,150,0.17500000000000004,0.09999999999999998,0.2256249999999994,0.4895826840582048,0.4675278275322682,0.506679681686456,both_positive
prompt_as_pas_final,agreeableness,high,150,0.11111111111111105,-0.02777777777777779,0.25,0.5061346065616407,0.49625293302294415,0.5160146666489518,trait_only
prompt_as_pas_final,agreeableness,low,150,0.02777777777777779,-0.25,0.3055555555555556,0.4738653934383594,0.44941590300838385,0.4954439107078756,trait_only
prompt_as_pas_final,conscientiousness,high,150,0.13888888888888884,-0.05555555555555558,0.3055555555555556,0.47761267796683043,0.45894512011565247,0.4904692233784409,trait_only
prompt_as_pas_final,conscientiousness,low,150,0.08333333333333337,-0.02777777777777779,0.19444444444444442,0.5157206553665029,0.5076351259838857,0.523810827204905,trait_only
prompt_as_pas_final,extraversion,high,150,0.3125,0.1875,0.40625,0.5103791759516759,0.49500168220975194,0.5220128016969416,both_positive
prompt_as_pas_final,extraversion,low,150,0.125,0.03125,0.21875,0.4629541573816574,0.43520052898400363,0.48194679789441486,both_positive
prompt_as_pas_final,neuroticism,high,150,0.25,0.03125,0.4375,0.5224815804722246,0.5161309602599273,0.5285204426155302,both_positive
prompt_as_pas_final,neuroticism,low,150,0.03125,0.0,0.09375,0.47751841952777546,0.47163175365345383,0.4838424621041833,trait_only
prompt_as_pas_final,openness,high,150,0.0,-0.07499999999999996,0.07499999999999996,0.4837506492751285,0.4602230813208699,0.5008014299968437,trait_only
prompt_as_pas_final,openness,low,150,0.10000000000000009,0.025000000000000022,0.17499999999999993,0.4895826840582048,0.46688840191161596,0.5066312789304737,both_positive
