condition,reference_condition,trait,target_direction,metric,n_paired_scenarios,mean_delta,ci,ci_lower,ci_upper,n_bootstrap,seed
prompt_loglik,baseline_loglik,conscientiousness,low,consistency,150,-0.025265823385773357,0.95,-0.033388189206652,-0.018592990847251453,500,42
prompt_loglik,baseline_loglik,extraversion,high,consistency,150,-0.07943842529881517,0.95,-0.08566768543719366,-0.0732056369931725,500,42
prompt_loglik,baseline_loglik,extraversion,low,consistency,150,0.08215275326204333,0.95,0.07563227865509166,0.08740077581175235,500,42
prompt_loglik,baseline_loglik,neuroticism,high,consistency,150,-0.2123450390134655,0.95,-0.2219080637368033,-0.2038133795572265,500,42
prompt_loglik,baseline_loglik,neuroticism,low,consistency,150,-0.04240417233800175,0.95,-0.04717211097351627,-0.037161449984031286,500,42
prompt_loglik,baseline_loglik,openness,high,consistency,150,0.008213892684446892,0.95,0.0029578129661800147,0.013857236059402884,500,42
prompt_loglik,baseline_loglik,openness,low,consistency,150,0.11342839190962489,0.95,0.10659163355492068,0.12052862221577798,500,42
as_loglik,baseline_loglik,agreeableness,high,trait_target_attainment,150,0.03480261147452542,0.95,0.030008254232581022,0.03949838589728762,500,42
as_loglik,baseline_loglik,agreeableness,low,trait_target_attainment,150,0.03839913727853532,0.95,0.03297092200841713,0.04439297412808403,500,42
as_loglik,baseline_loglik,conscientiousness,high,trait_target_attainment,150,0.034367349231470515,0.95,0.030918072852403528,0.038154792566830936,500,42
as_loglik,baseline_loglik,conscientiousness,low,trait_target_attainment,150,0.030747765614819282,0.95,0.026606122266779057,0.0349287252846374,500,42
as_loglik,baseline_loglik,extraversion,high,trait_target_attainment,150,0.040520515573177915,0.95,0.03668262499568324,0.04472600296274812,500,42
as_loglik,baseline_loglik,extraversion,low,trait_target_attainment,150,0.025273681674266454,0.95,0.021925587503288598,0.02842557896862808,500,42
as_loglik,baseline_loglik,neuroticism,high,trait_target_attainment,150,0.04037085913586451,0.95,0.03662994063614984,0.04409131821887213,500,42
as_loglik,baseline_loglik,neuroticism,low,trait_target_attainment,150,0.029127341607674377,0.95,0.025187707538929217,0.032864943770988614,500,42
as_loglik,baseline_loglik,openness,high,trait_target_attainment,150,0.037513261032654954,0.95,0.033004447815026663,0.04167455070385713,500,42
as_loglik,baseline_loglik,openness,low,trait_target_attainment,150,0.05812390329905625,0.95,0.051428918900475164,0.06535627689094317,500,42
as_pas_final,baseline_loglik,agreeableness,high,trait_target_attainment,150,0.5061346065616403,0.95,0.495699303438411,0.5157021752749542,500,42
as_pas_final,baseline_loglik,agreeableness,low,trait_target_attainment,150,0.4738653934383596,0.95,0.4479523287301068,0.4944625439194431,500,42
as_pas_final,baseline_loglik,conscientiousness,high,trait_target_attainment,150,0.4776126779668304,0.95,0.46338508168598247,0.4904235720709552,500,42
as_pas_final,baseline_loglik,conscientiousness,low,trait_target_attainment,150,0.5157206553665028,0.95,0.5086617599866446,0.5239319422255195,500,42
as_pas_final,baseline_loglik,extraversion,high,trait_target_attainment,150,0.5103791759516757,0.95,0.49497236871376704,0.5224841464865506,500,42
as_pas_final,baseline_loglik,extraversion,low,trait_target_attainment,150,0.46295415738165757,0.95,0.4360857800777652,0.48396546006537683,500,42
as_pas_final,baseline_loglik,neuroticism,high,trait_target_attainment,150,0.5224815804722244,0.95,0.5158803192479466,0.52908512657514,500,42
as_pas_final,baseline_loglik,neuroticism,low,trait_target_attainment,150,0.4775184195277754,0.95,0.47115821204116015,0.4841157463446657,500,42
as_pas_final,baseline_loglik,openness,high,trait_target_attainment,150,0.48375064927512845,0.95,0.46294491897729273,0.500626822471258,500,42
as_pas_final,baseline_loglik,openness,low,trait_target_attainment,150,0.4895826840582048,0.95,0.46634030686263334,0.505921738709475,500,42
pas_final,baseline_loglik,agreeableness,high,trait_target_attainment,150,0.5061346065616403,0.95,0.4964959569783685,0.515062303808555,500,42
pas_final,baseline_loglik,agreeableness,low,trait_target_attainment,150,0.4738653934383596,0.95,0.44854913108013295,0.4945825243632564,500,42
pas_final,baseline_loglik,conscientiousness,high,trait_target_attainment,150,0.4776126779668304,0.95,0.4613183314271131,0.4898264410351029,500,42
pas_final,baseline_loglik,conscientiousness,low,trait_target_attainment,150,0.5157206553665028,0.95,0.5074349787899256,0.523810095560898,500,42
pas_final,baseline_loglik,extraversion,high,trait_target_attainment,150,0.5103791759516757,0.95,0.4923663231111918,0.5220009821235526,500,42
pas_final,baseline_loglik,extraversion,low,trait_target_attainment,150,0.46295415738165757,0.95,0.437301946810272,0.4837529591571634,500,42
pas_final,baseline_loglik,neuroticism,high,trait_target_attainment,150,0.5224815804722244,0.95,0.5164910917926736,0.5287448162428159,500,42
pas_final,baseline_loglik,neuroticism,low,trait_target_attainment,150,0.4775184195277754,0.95,0.4704123664804638,0.4840245077084455,500,42
pas_final,baseline_loglik,openness,high,trait_target_attainment,150,0.48375064927512845,0.95,0.4645271164395404,0.5018982763011763,500,42
pas_final,baseline_loglik,openness,low,trait_target_attainment,150,0.4895826840582048,0.95,0.46471975855919306,0.5073361323461643,500,42
prompt_as_pas_final,baseline_loglik,agreeableness,high,trait_target_attainment,150,0.5061346065616403,0.95,0.4970541716471132,0.5154101340950532,500,42
prompt_as_pas_final,baseline_loglik,agreeableness,low,trait_target_attainment,150,0.4738653934383596,0.95,0.44875481116042093,0.4954868517440665,500,42
prompt_as_pas_final,baseline_loglik,conscientiousness,high,trait_target_attainment,150,0.4776126779668304,0.95,0.45899565337135206,0.49117060437126725,500,42
prompt_as_pas_final,baseline_loglik,conscientiousness,low,trait_target_attainment,150,0.5157206553665028,0.95,0.5072125489090739,0.5240868689899498,500,42
prompt_as_pas_final,baseline_loglik,extraversion,high,trait_target_attainment,150,0.5103791759516757,0.95,0.49418768807663693,0.5221616901758851,500,42
prompt_as_pas_final,baseline_loglik,extraversion,low,trait_target_attainment,150,0.46295415738165757,0.95,0.43506503782451983,0.48362957017310654,500,42
prompt_as_pas_final,baseline_loglik,neuroticism,high,trait_target_attainment,150,0.5224815804722244,0.95,0.5161584959498969,0.5288195194725603,500,42
prompt_as_pas_final,baseline_loglik,neuroticism,low,trait_target_attainment,150,0.4775184195277754,0.95,0.4706032591805882,0.4838048842364158,500,42
prompt_as_pas_final,baseline_loglik,openness,high,trait_target_attainment,150,0.48375064927512845,0.95,0.4612822328086426,0.4996940569658136,500,42
prompt_as_pas_final,baseline_loglik,openness,low,trait_target_attainment,150,0.4895826840582048,0.95,0.46798830127391094,0.50653553633264,500,42
prompt_loglik,baseline_loglik,agreeableness,high,trait_target_attainment,150,0.052929441041150986,0.95,0.044985419279072486,0.060416206771999305,500,42
prompt_loglik,baseline_loglik,agreeableness,low,trait_target_attainment,150,0.056398566876719014,0.95,0.04770080416080206,0.06490205938010629,500,42
prompt_loglik,baseline_loglik,conscientiousness,high,trait_target_attainment,150,0.031558849861478985,0.95,0.027243122147997526,0.035486053568215686,500,42
prompt_loglik,baseline_loglik,conscientiousness,low,trait_target_attainment,150,0.05941507173040237,0.95,0.05138813138434004,0.06806793907544956,500,42
prompt_loglik,baseline_loglik,extraversion,high,trait_target_attainment,150,0.04556157470118489,0.95,0.03933231456280632,0.05179436300682749,500,42
prompt_loglik,baseline_loglik,extraversion,low,trait_target_attainment,150,0.039611094811076844,0.95,0.03357092300220266,0.046094969995023286,500,42
prompt_loglik,baseline_loglik,neuroticism,high,trait_target_attainment,150,0.043329248252251575,0.95,0.038116048422752666,0.04825528830857634,500,42
prompt_loglik,baseline_loglik,neuroticism,low,trait_target_attainment,150,0.012096700268572258,0.95,0.00811786980268382,0.016020498440110286,500,42
prompt_loglik,baseline_loglik,openness,high,trait_target_attainment,150,0.033890114383526904,0.95,0.02861849991998476,0.03960927347085605,500,42
prompt_loglik,baseline_loglik,openness,low,trait_target_attainment,150,0.058994464839522594,0.95,0.051946750580936396,0.06657734047473979,500,42
